Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC (USD),URL,Traffic Volume,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
cartoon clipboard,3,3,140,25,0,https://ledsone.co.uk/products/4-pack-a4-cartoon-design-clipboard-with-ruler-scale-clipboard-5280,3,0.02,0,0.12,76300000,"34,53,42,42,34,34,53,53,53,65,53,65",03/03/2026 08:53:28,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
hang chain,3,3,140,9,0.33,https://ledsone.co.uk/collections/cord-grip-and-hanging-chains,1,0,0,1,117000000,"34,34,53,28,53,65,43,21,34,53,43,43",02/09/2026 06:27:10,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",Organic
ceramic bulb holder,3,3,140,9,0.35,https://ledsone.co.uk/products/ceramic-porcelain-type-3-es-e27-edison-screw-heat-bulb-lamp-holder,9,0.07,3,1,6690000,"43,53,34,34,43,28,28,34,43,43,53,53",01/31/2026 02:11:16,"Image pack, Video, People also ask, Popular products, Related searches","informational, transactional",Organic
ceiling rope lighting,3,3,170,5,0.4,https://ledsone.co.uk/collections/hemp-rope-lighting,11,0.09,4,1,28000000,"65,80,80,80,53,100,42,26,53,26,34,100",02/22/2026 13:16:06,"Image pack, Video, Image, Video Carousel, Popular products, Related searches",informational,Organic
old lamp shades,3,3,140,7,0.25,https://ledsone.co.uk/collections/lampshades,3,0.02,0,1,31500000,"28,21,28,34,28,53,43,53,34,65,81,43",02/12/2026 23:42:43,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",informational,Organic
led e27 edison screw bulb,3,3,210,19,0.26,https://ledsone.co.uk/collections/e27-base-bulb,6,0.04,1,1,912000,"29,29,19,12,19,29,19,9,15,100,44,19",02/22/2026 06:10:36,"Video, People also ask, Popular products, Related searches","commercial, informational",Organic
plug in hanging light fixtures,3,3,210,9,0.39,https://ledsone.co.uk/collections/plugin-lighting,13,0.1,5,1,7770000,"9,11,9,9,7,9,1,39,88,17,11,21",01/18/2026 18:19:13,"Video, People also ask, Popular products, Related searches, Discussions and forums",transactional,Organic
cage lamp shade,3,3,170,13,0.33,https://ledsone.co.uk/collections/wire-cage,7,0.05,2,1,4550000,"28,28,44,35,11,23,23,18,28,28,23,23",02/28/2026 10:08:53,"Image pack, Video, Image, Popular products, Related searches",informational,Organic
black wire ceiling light,3,3,110,9,0.42,https://ledsone.co.uk/collections/wire-cage-pendant-light,7,0.05,2,1,73800000,"34,53,43,28,34,34,15,34,28,28,34,53",01/17/2026 15:15:15,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
three light pendant light,3,3,170,8,0.5,https://ledsone.co.uk/collections/three-outlet-lighting,11,0.09,5,1,92800000,"7,10,15,5,0,0,15,12,100,15,23,23",01/21/2026 19:28:28,"Video, Popular products, Related searches","informational, transactional",Organic
led screw in bulbs e27,3,3,170,16,0.26,https://ledsone.co.uk/collections/e27-base-bulb,11,0.09,2,1,1380000,"15,12,4,0,9,9,0,9,15,100,44,44",02/15/2026 23:54:53,"Video, People also ask, Popular products, Related searches",informational,Organic
light bulb with holder,3,3,590,19,0.26,https://ledsone.co.uk/collections/holder,14,0.11,3,1,32100000,"72,100,88,59,59,48,32,7,26,72,59,88",02/04/2026 22:50:43,"Image pack, Video, People also ask, Popular products, Related searches",informational,Organic
hanging chains,3,3,140,3,0.33,https://ledsone.co.uk/collections/cord-grip-and-hanging-chains,3,0.02,0,1,105000000,"66,100,0,0,80,80,80,80,80,66,80,100",02/10/2026 13:03:04,"Image pack, Video, Image, People also ask, Popular products, Related searches",informational,Organic
led driver transformer 12v,3,3,210,6,0.43,https://ledsone.co.uk/collections/dc-12v-transformer,9,0.07,3,1,3810000,"54,43,22,10,54,54,43,14,29,81,66,54",02/19/2026 03:04:09,"Video, Video Carousel, Popular products, Related searches","informational, transactional",Organic
rope ceiling lamp,3,3,110,6,0.43,https://ledsone.co.uk/collections/hemp-rope-lighting,3,0.02,1,1,228,"23,23,12,7,53,53,53,7,10,35,28,43",03/04/2026 14:17:04,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
wires connectors,3,3,90,23,0.29,https://ledsone.co.uk/collections/wire-connectors-junction-box,2,0.01,0,1,203000000,"0,21,0,0,34,34,43,100,43,21,21,34",02/17/2026 13:50:50,"Image pack, Video, Image, Video Carousel, Popular products, Related searches","informational, transactional",Organic
2 core electrical cable,3,3,480,18,0.32,https://ledsone.co.uk/collections/2core-round,31,0.25,9,1,127000000,"48,48,72,39,48,39,48,59,59,39,39,48",01/29/2026 13:51:28,"Image pack, Video, Image, People also ask, Popular products, Related searches",informational,Organic
rose gold lamp shade,3,3,210,13,0.29,https://ledsone.co.uk/products/rose-gold-easy-fit-metal-light-shade-metal-cage,13,0.1,3,1,14000000,"23,29,23,23,23,19,19,29,36,23,29,29",02/10/2026 18:18:29,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
e27 edison light bulb,3,3,90,16,0.39,https://ledsone.co.uk/collections/vintage-bulbs,2,0.01,0,1,4250000,"23,23,6,8,15,23,8,11,11,15,8,35",02/01/2026 03:59:37,"Video, People also ask, Popular products, Related searches, AI overview","commercial, informational",Organic
retro lampshades,3,3,90,1,0.25,https://ledsone.co.uk/collections/lampshades,3,0.02,0,1,3670000,"10,7,12,10,7,5,10,7,7,10,12,15",02/14/2026 17:04:56,"Image pack, Video, Image, Popular products, Related searches",informational,Organic
vintage look lamp shades,3,3,90,7,0.3,https://ledsone.co.uk/collections/lampshades,5,0.04,1,1,8610000,"33,42,33,33,33,33,52,33,42,52,66,52",02/17/2026 18:03:56,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
corded light pendant,3,3,170,6,0.46,https://ledsone.co.uk/collections/pendant-lights,5,0.04,2,1,16500000,"80,80,53,34,65,100,80,26,42,100,80,100",01/24/2026 08:40:44,"Video, Popular products, Related searches","informational, transactional",Organic
led light transformer,3,3,720,9,0.47,https://ledsone.co.uk/collections/led-transformers,17,0.13,7,1,39700000,"100,88,88,88,72,59,39,72,48,48,72,100",03/04/2026 21:41:00,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",Organic
big bag for laundry,3,3,590,18,0.42,https://ledsone.co.uk/collections/laundry-bags,25,0.2,10,1,106000000,"0,76,0,0,0,76,100,13,67,76,67,67",01/27/2026 08:56:00,"Image pack, Video, Image, Popular products, Related searches, AI overview","informational, transactional",Organic
wire electrical wire,3,3,2900,30,0.34,https://ledsone.co.uk/collections/vintage-cables,69,0.56,23,1,493000000,"24,66,81,100,66,81,44,1,35,66,66,53",02/03/2026 02:22:43,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
switch on the wall,3,3,90,16,0.37,https://ledsone.co.uk/collections/switches,2,0.01,0,1,637000000,"42,53,11,15,15,0,0,53,53,65,34,65",02/21/2026 04:59:50,"Image pack, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
types of wire connectors,3,3,140,17,0.29,https://ledsone.co.uk/collections/wire-connectors,2,0.01,0,1,34200000,"42,26,34,42,26,42,80,80,80,53,65,100",03/02/2026 05:55:09,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
pendant lighting rose gold,3,3,110,5,0.45,https://ledsone.co.uk/collections/rose-gold-lighting,4,0.03,1,1,15200000,"64,78,100,64,78,100,78,35,78,78,100,100",02/10/2026 23:59:16,"Image pack, Image, Popular products, Related searches","informational, transactional",Organic
pipe lamp,3,3,110,,0.57,https://ledsone.co.uk/collections/pipe-lighting,4,0.03,2,1,56600000,"22,43,22,18,14,14,18,14,18,22,14,22",01/18/2026 10:17:02,"Image pack, Video, Image, Video Carousel, Popular products, Related searches","informational, transactional",Organic
hanging lights with plug in,3,3,260,9,0.39,https://ledsone.co.uk/collections/plugin-lighting,11,0.09,4,1,33100000,"0,0,0,0,0,0,0,0,0,62,100,0",02/21/2026 07:03:24,"Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,Organic
lamp shades vintage retro,3,3,320,6,0.27,https://ledsone.co.uk/collections/lampshades,26,0.21,7,1,11100000,"66,54,66,36,29,23,15,36,9,23,54,66",01/03/2026 04:45:55,"Video, Image, Popular products, Related searches",commercial,Organic
edison light bulb vintage,3,3,110,7,0.43,https://ledsone.co.uk/collections/vintage-bulbs,2,0.01,0,1,4890000,"52,66,52,52,42,66,52,33,42,52,66,66",03/01/2026 04:16:28,"Video, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",Organic
light switch on wall,3,3,170,9,0.34,https://ledsone.co.uk/collections/switches,4,0.03,1,1,423000000,"80,66,66,80,100,66,80,80,66,80,80,80",01/22/2026 17:09:08,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",informational,Organic
cage for pendant light,3,3,110,7,0.59,https://ledsone.co.uk/collections/wire-cage-pendant-light,4,0.03,2,1,8510000,"42,52,52,52,66,66,52,23,52,52,66,66",01/22/2026 21:26:21,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
pendant light with switch,3,3,90,9,0.34,https://ledsone.co.uk/collections/plugin-lighting,5,0.04,1,1,53900000,"50,64,64,78,50,50,14,64,64,64,64,100",01/22/2026 08:09:25,"Video, People also ask, Popular products, Related searches","informational, transactional",Organic
e27 bulb retro,3,3,260,6,0.43,https://ledsone.co.uk/collections/vintage-bulbs,11,0.09,4,1,4070000,"54,81,22,18,54,54,43,18,29,66,66,66",03/04/2026 21:10:24,"Video, Popular products, Related searches","informational, transactional",Organic
ceiling rose plate,3,3,110,6,0.43,https://ledsone.co.uk/collections/ceiling-rose-brackets,3,0.02,1,1,32600000,"9,52,52,52,52,9,100,52,80,80,66,52",01/22/2026 07:04:25,"Image pack, Video, Image, Video Carousel, Popular products, Related searches",informational,Organic
adapter led,3,3,110,8,0.22,https://ledsone.co.uk/collections/power-adapters,0,0,0,1,148000000,"52,52,66,33,42,42,42,33,52,80,80,66",03/02/2026 00:02:12,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",Organic
lamp fittings,3,3,590,21,0.27,https://ledsone.co.uk/collections/holder,48,0.39,12,1,19500000,"36,45,36,36,24,24,30,30,30,36,45,45",02/25/2026 14:09:39,"Image pack, Video, People also ask, Popular products, Related searches","commercial, informational",Organic
what does e27 bulb mean,3,3,90,9,0.27,https://ledsone.co.uk/blogs/new/e27-bulb-guide,2,0.01,0,0.73,690000,"66,80,52,52,33,14,33,19,33,42,42,52",02/17/2026 16:38:12,"Video, Image, People also ask, Related searches, AI overview",informational,Organic
240v to 12 volt transformer,3,3,140,8,0.3,https://ledsone.co.uk/products/dc12v-80w-ip20-universal-regulated-switching-power-supply,6,0.04,1,1,6280000,"0,0,23,19,36,0,4,12,29,23,7,19",02/13/2026 17:23:38,"Image pack, Video, People also ask, Popular products, Related searches, AI overview","informational, transactional",Organic
socket e14,3,3,90,9,0.53,https://ledsone.co.uk/products/e14-bulb-holder-edison-small-screw-ses-black-plastic-lamp-holder-4357,2,0.01,1,1,2100000,"21,100,100,100,100,0,0,50,78,64,35,100",01/22/2026 09:39:45,"Image pack, Video, People also ask, Popular products, Related searches","informational, transactional",Organic
pipe lighting,3,3,110,16,0.2,https://ledsone.co.uk/collections/pipe-lighting,1,0,0,1,340000000,"10,12,7,5,2,17,17,17,28,100,43,100",02/17/2026 14:50:52,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
caged hanging light,3,3,110,6,0.59,https://ledsone.co.uk/collections/wire-cage-pendant-light,7,0.05,4,1,1460000,"42,52,52,52,66,66,52,23,52,52,66,66",01/22/2026 21:48:48,"Image pack, Video, People also ask, Popular products, Related searches",informational,Organic
lampshade holder,3,3,170,9,0.27,https://ledsone.co.uk/products/screw-e27-plain-holder-white-with-ring-bakelite-lamp-holder,3,0.02,0,1,10900000,"35,43,28,23,23,17,35,28,53,35,82,100",02/25/2026 04:06:30,"Image pack, Video, Image, People also ask, Popular products, Related searches",informational,Organic
rose gold ceiling rose,3,3,110,4,0.44,https://ledsone.co.uk/products/rose-gold-industrial-ceiling-rose-metal-vintage,4,0.03,1,1,64200000,"12,15,23,5,19,23,19,5,4,19,19,12",03/01/2026 17:18:33,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
240v 12v transformer,3,3,140,9,0.3,https://ledsone.co.uk/products/dc-12v-ip20-power-supply,9,0.07,2,1,3010000,"23,36,19,15,6,5,5,29,23,19,29,29",01/31/2026 12:29:01,"Video, People also ask, Popular products, Related searches, Discussions and forums",informational,Organic
pulley hanging light,3,3,90,12,0.43,https://ledsone.co.uk/products/pulley-pipe-lights-hanging,3,0.02,1,1,4340000,"33,33,33,42,42,42,42,33,42,52,66,66",02/21/2026 05:56:55,"Image pack, Video, Image, Video Carousel, Popular products, Related searches","informational, transactional",Organic
glass vintage light shades,3,3,260,4,0.15,https://ledsone.co.uk/collections/lampshades,16,0.13,2,1,23200000,"44,100,29,15,0,0,0,10,29,44,54,44",01/09/2026 04:51:44,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
light fitting bracket,3,3,140,23,0.29,https://ledsone.co.uk/collections/ceiling-rose-brackets,11,0.09,3,1,44000000,"53,53,42,42,42,34,53,42,80,53,65,65",02/22/2026 14:51:53,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
wire lamp shades,3,3,210,7,0.29,https://ledsone.co.uk/collections/wire-cage,13,0.1,3,1,0,"29,36,29,29,23,23,23,29,36,29,29,29",02/28/2026 11:11:16,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
240 to 12 volt transformer,3,3,210,18,0.27,https://ledsone.co.uk/products/dc-12v-ip20-power-supply,5,0.04,1,1,25000000,"66,66,43,43,28,35,43,53,53,43,53,66",01/27/2026 22:27:18,"Image pack, Video, People also ask, Popular products, Related searches",informational,Organic
adaptor led light,3,3,90,7,0.22,https://ledsone.co.uk/collections/power-adapters,1,0,0,1,21500000,"64,64,82,41,52,0,0,41,64,100,100,82",02/20/2026 00:22:31,"Image pack, Video, People also ask, Popular products, Related searches","informational, transactional",Organic
wire connector types,3,3,260,18,0.29,https://ledsone.co.uk/collections/wire-connectors,3,0.02,0,1,97500000,"54,54,54,54,54,66,81,35,66,35,81,54",02/12/2026 17:02:17,"Image pack, Video, Image, Video Carousel, Popular products, Related searches, Short videos, AI overview","informational, transactional",Organic
12 volt dc,3,3,90,6,0.53,https://ledsone.co.uk/collections/dc-12v-transformer,1,0,0,0.91,108000000,"0,6,5,6,18,18,100,11,11,8,8,6",01/18/2026 20:23:42,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",Organic
wire connector clips,3,3,110,16,0.33,https://ledsone.co.uk/products/2-3-way-electrical-connectors-wire-block-clamp-clips-fast-cable-reusable-lever,3,0.02,0,1,36000000,"9,66,52,33,42,66,52,42,100,52,33,33",01/04/2026 14:48:24,"Image pack, Video, Image, Video Carousel, Popular products, Related searches",informational,Organic
transformer power supply,3,3,90,8,0.85,https://ledsone.co.uk/collections/power-adapters,2,0.01,1,1,64700000,"52,52,33,42,33,33,9,33,42,42,33,52",01/23/2026 09:36:27,"Image pack, Video, Ads bottom, People also ask, Popular products, Related searches, AI overview",informational,Organic
most accurate weighing scales uk,3,3,260,38,0.33,https://ledsone.co.uk/collections/weighing-scale,16,0.13,5,1,4930000,"43,66,82,100,53,82,53,100,82,66,66,53",02/27/2026 16:55:31,"Video, People also ask, Popular products, Related searches, Discussions and forums, AI overview",commercial,Organic
vintage retro lampshades,3,3,110,12,0.26,https://ledsone.co.uk/collections/lampshades/vintage-lighting,7,0.05,1,1,1010000,"0,0,0,0,0,0,0,14,35,81,100,81",02/21/2026 18:32:21,"Image pack, Video, Image, Popular products, Related searches",informational,Organic
retro vintage light bulbs,3,3,110,7,0.39,https://ledsone.co.uk/collections/vintage-bulbs,9,0.07,3,1,10400000,"78,78,100,78,78,78,78,64,64,78,100,100",03/01/2026 14:42:58,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
shower curtain mildew resistant,3,3,260,21,0.34,https://ledsone.co.uk/products/fabric-solid-color-shower-curtain-for-bathtub-shower-5288,6,0.04,2,1,1320000,"66,66,44,28,66,15,35,11,28,66,54,66",02/02/2026 23:06:34,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",informational,Organic
pulley light,3,3,170,10,0.34,https://ledsone.co.uk/products/pulley-pipe-lights-hanging,5,0.04,1,1,51100000,"35,28,53,43,23,43,28,43,43,35,53,43",02/22/2026 09:04:30,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
light holder ceiling,3,3,90,10,0.39,https://ledsone.co.uk/collections/holder,2,0.01,0,1,67300000,"78,50,64,50,50,78,50,78,78,64,64,100",01/22/2026 21:34:45,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
mould proof shower curtain,3,3,260,13,0.34,https://ledsone.co.uk/products/fabric-solid-color-shower-curtain-for-bathtub-shower-5288,11,0.09,3,1,884000,"66,54,35,54,66,43,35,43,66,54,54,100",02/27/2026 11:56:03,"Image pack, Video, People also ask, Popular products, Related searches, Discussions and forums, AI overview",informational,Organic
vintage glass light shades,3,3,320,5,0.15,https://ledsone.co.uk/collections/lampshades,20,0.16,3,1,25900000,"66,100,9,2,36,23,36,54,54,44,54,66",02/20/2026 20:57:29,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
lamp shade for vintage lamp,3,3,320,16,0.29,https://ledsone.co.uk/collections/lampshades,7,0.05,2,1,25600000,"15,29,23,12,19,66,44,9,36,100,81,66",02/19/2026 04:17:22,"Video, Image, People also ask, Popular products, Related searches, Discussions and forums, AI overview","informational, transactional",Organic
lamp shade holder ring,3,3,170,6,0.34,https://ledsone.co.uk/products/screw-e27-plain-holder-white-with-ring-bakelite-lamp-holder,4,0.03,1,1,6490000,"65,53,53,53,42,42,53,65,80,65,100,80",01/15/2026 21:41:11,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
led transformers 12v,3,3,210,13,0.43,https://ledsone.co.uk/collections/dc-12v-transformer,5,0.04,2,1,5090000,"53,53,53,43,65,3,53,43,65,100,100,81",02/03/2026 02:17:10,"Video, People also ask, Popular products, Related searches","informational, transactional",Organic
what is e27 bulb,3,3,320,15,0.36,https://ledsone.co.uk/blogs/new/e27-bulb-guide,7,0.05,2,0.99,9980000,"44,81,66,66,54,54,54,66,35,44,54,66",02/01/2026 05:30:18,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
e27 retro bulb,3,3,170,9,0.43,https://ledsone.co.uk/collections/vintage-bulbs,13,0.1,5,1,4640000,"53,53,12,17,17,82,53,35,12,17,28,100",02/19/2026 02:19:59,"Video, People also ask, Popular products, Related searches","informational, transactional",Organic
antique lamp shades,3,3,260,16,0.25,https://ledsone.co.uk/collections/lampshades,21,0.17,5,1,9750000,"28,44,35,35,18,23,35,28,35,100,44,54",02/01/2026 04:09:42,"Local pack, Image pack, Video, Image, Find results on, Related searches",commercial,Organic
12v led transformer,3,3,140,14,0.43,https://ledsone.co.uk/collections/dc-12v-transformer,9,0.07,3,1,7750000,"42,53,42,100,26,26,19,34,80,53,53,65",01/26/2026 10:33:41,"Video, People also ask, Popular products, Related searches","informational, transactional",Organic
vintage lamp shade styles,3,3,90,15,0.3,https://ledsone.co.uk/collections/lampshades,2,0.01,0,1,18300000,"50,64,50,35,64,64,78,50,64,78,100,78",02/17/2026 18:07:29,"Video, Image, People also ask, Popular products, Related searches, AI overview","commercial, informational",Organic
bayonet bulb sizes,3,3,390,15,0.22,https://ledsone.co.uk/blogs/new/b22-bayonet-bulbs-explained-your-essential-led-buying-guide,9,0.07,1,1,1100000,"66,81,54,44,29,36,29,36,54,54,66,66",02/01/2026 07:28:58,"Image pack, Video, Image, People also ask, Popular products, Related searches, AI overview",informational,Organic
light cage shade,3,3,170,13,0.33,https://ledsone.co.uk/collections/wire-cage-pendant-light,11,0.09,3,1,22300000,"43,53,28,23,43,53,35,17,43,53,43,35",02/22/2026 23:47:06,"Image pack, Video, Popular products, Related searches","informational, transactional",Organic
light bulb fittings uk,3,3,110,15,0.17,https://ledsone.co.uk/collections/holder,7,0.05,1,1,4560000,"43,65,34,28,21,28,28,43,34,43,43,43",01/25/2026 03:11:48,"Image pack, Video, Related searches, AI overview",informational,Organic
covered electrical wire,3,3,390,7,0.34,https://ledsone.co.uk/collections/vintage-cables,8,0.06,2,1,195000000,"54,66,23,81,81,66,44,9,36,66,66,54",01/31/2026 23:52:30,"Image pack, Video, Image, People also ask, Popular products, Related searches, AI overview",informational,Organic
power adapter ac to dc,3,3,170,16,0.44,https://ledsone.co.uk/products/ac-dc-12v-12w-power-supply-adapter-charger-transformer-for-3528-5050-led-strip,4,0.03,1,1,36800000,"0,0,0,0,0,0,0,0,54,81,100,0",02/19/2026 04:23:21,"Video, People also ask, Popular products, Related searches","informational, transactional",Organic
rose gold pendant lamp,3,3,110,5,0.45,https://ledsone.co.uk/products/rose-gold-light-hanging-pendant-light,3,0.02,1,1,17600000,"34,42,53,34,42,53,42,19,42,42,53,53",01/31/2026 19:39:19,"Image pack, Image, Popular products, Related searches","informational, transactional",Organic
240v to12v transformer,3,3,390,20,0.3,https://ledsone.co.uk/products/dc12v-100w-ip20-universal-regulated-switching-power-supply,9,0.07,2,1,491000,"67,76,0,0,0,0,0,13,20,55,45,76",01/17/2026 20:54:39,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
pendant light metal shade,3,3,110,5,0.34,https://ledsone.co.uk/collections/latest-pendent-shade,4,0.03,1,1,29900000,"42,52,52,42,42,52,52,23,52,80,66,66",02/05/2026 13:18:02,"Video, Popular products, Related searches","informational, transactional",Organic
underground junction box,4,4,260,8,0.41,https://ledsone.co.uk/products/ip68-underground-waterproof-junction-box-cable-protection-connectors-ip66-5598,1,0,0,1,15400000,"34,34,53,81,100,100,81,100,100,81,65,65",01/17/2026 18:22:45,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview","commercial, informational",Organic
bulb holder socket,4,4,90,19,0.28,https://ledsone.co.uk/collections/holder,2,0.01,0,1,8250000,"53,34,42,42,19,34,26,26,34,34,42,42",03/02/2026 03:36:18,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
e27 hanging lamp,4,4,90,9,0.37,https://ledsone.co.uk/products/single-ceiling-pendant-light-e27-base-hanging-chain-light,3,0.02,1,1,7100000,"63,63,63,81,100,81,81,100,45,100,100,81",01/04/2026 14:57:50,"Video, Popular products, Related searches","informational, transactional",Organic
what does e27 mean on a light bulb,4,4,110,16,0.34,https://ledsone.co.uk/collections/e27-base-bulb,0,0,0,0.29,667000,"23,42,33,42,33,33,23,52,52,80,80,100",02/25/2026 19:18:53,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
hanging from chains,4,4,480,27,0,https://ledsone.co.uk/collections/cord-grip-and-hanging-chains,11,0.09,0,0,52900000,"0,30,36,16,10,76,45,20,5,100,36,36",01/06/2026 08:47:03,"Image pack, Video, Image, People also ask, Related searches","informational, transactional",Organic
black metal chandelier,4,4,110,4,0.52,https://ledsone.co.uk/products/industrial-metal-lantern-chandeliers-9-light-adjustable-height-farmhouse-ceiling-chandelier-4622,2,0.01,1,1,33700000,"34,42,42,42,34,42,15,26,42,34,34,65",01/27/2026 13:48:35,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
bird table lamp,4,4,210,9,0.25,https://ledsone.co.uk/products/black-raven-shape-rasin-bird-table-lamps-desk-lamp,2,0.01,0,1,39600000,"54,35,54,44,35,23,28,28,23,35,35,35",01/07/2026 08:30:48,"Image pack, Video, Image, People also ask, Popular products, Related searches",informational,Organic
black metal light shade,4,4,480,14,0.31,https://ledsone.co.uk/pl/products/modern-drum-lampshade-black-colour-retro-style,16,0.13,4,1,95400000,"36,67,44,54,54,81,29,44,81,67,44,67",03/02/2026 00:02:37,"Image pack, Popular products, Related searches","informational, transactional",Organic
electrical terminal block for lighting,4,4,170,4,0.24,https://ledsone.co.uk/collections/wire-connectors,5,0.04,1,1,65200000,"52,80,66,80,100,80,80,80,100,80,66,42",01/24/2026 01:00:11,"Image pack, Video, Popular products, Related searches, AI overview",informational,Organic
led lights transformer 12v,4,4,210,8,0.43,https://ledsone.co.uk/collections/led-transformers,9,0.07,3,1,7240000,"66,53,28,12,43,66,28,17,35,100,82,66",02/11/2026 06:37:59,"Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
holder socket,4,4,260,21,0.32,https://ledsone.co.uk/collections/holder,5,0.04,1,1,44300000,"54,81,43,29,54,54,35,22,35,81,100,81",03/03/2026 12:36:31,"Image pack, Video, Image, People also ask, Popular products, Related searches",informational,Organic
d.c 5v,4,4,110,10,0.26,https://ledsone.co.uk/collections/dc-5v-transformer,2,0.01,0,1,41600000,"0,100,0,0,0,0,0,0,0,100,82,82",02/11/2026 14:21:04,"Image pack, Video, People also ask, Popular products, Related searches, AI overview","informational, transactional",Organic
rope chandelier,4,4,90,16,0.51,https://ledsone.co.uk/collections/hemp-rope-lighting,2,0.01,1,1,7990000,"26,34,26,34,26,26,34,26,42,34,34,42",01/17/2026 10:14:05,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
outdoor electrical cable connectors,4,4,170,9,0.3,https://ledsone.co.uk/products/longlife-waterproof-electrical-junction-box-cable-connector-wire-ip68-outdoor-uk,1,0,0,1,26600000,"28,28,35,35,43,66,66,35,35,35,43,43",02/26/2026 01:48:01,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",Organic
wall light ideas,4,4,140,22,0.4,https://ledsone.co.uk/blogs/new/wall-lighting-ideas-living-room,1,0,0,1,521000000,"28,53,34,53,53,53,21,53,43,53,65,53",01/23/2026 17:32:38,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
bulb holder light,4,4,210,,0.26,https://ledsone.co.uk/collections/holder,4,0.03,1,1,28700000,"0,59,5,0,59,59,59,4,1,17,21,4",01/25/2026 01:36:49,"Image pack, Video, People also ask, Popular products, Related searches","informational, transactional",Organic
metal black lamp shades,4,4,210,15,0.31,https://ledsone.co.uk/products/ledsone-industrial-vintage-32cm-black-pendant-retro-metal-lamp-shade-e27-uk-holder,5,0.04,1,1,24400000,"0,0,0,0,66,35,35,10,54,100,100,81",01/22/2026 09:09:37,"Image pack, Image, Popular products, Related searches","commercial, informational",Organic
plug in pendant lights,4,4,90,10,0.39,https://ledsone.co.uk/collections/plugin-lighting,3,0.02,1,1,11700000,"6,10,6,6,5,6,1,3,6,3,10,8",02/28/2026 20:14:16,"Image pack, Video, Popular products, Related searches","informational, transactional",Organic
light shades vintage,4,4,140,6,0.25,https://ledsone.co.uk/collections/lampshades,6,0.04,1,1,49200000,"0,100,0,0,0,0,0,0,0,0,0,0",02/24/2026 03:29:51,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
threaded holder,4,4,140,,0.27,https://ledsone.co.uk/pl/products/threaded-holder-copper-e27-base-screw-thread-bulb-socket-lamp-holder,1,0,0,1,17400000,"42,0,42,42,53,65,53,26,42,100,65,100",01/31/2026 22:25:38,"Image pack, Video, Image, People also ask, Popular products","informational, transactional",Organic
